,ndc_description,ndc_description_agg,score
0,ANTACID EXTRA STRENGTH CHW TABLET,,-1
1,LIDOCAINE 5% PATCH,,-1
2,COLCHICINE 0.6MG CAPSULE,COLCHICINE 0.6MG ORAL,86
3,AMOXICILLIN 500MG CAPSULE,AMOXICILLIN 500MG ORAL,87
4,TRAMADOL HCL 50MG TABLET,,-1
5,LICE TREATMENT 1% CREME RINSE,,-1
6,OLANZAPINE ODT 10MG TABLET,OLANZAPINE 10MG ORAL,86
7,LEVOFLOXACIN 750MG TABLET,LEVOFLOXACIN 750MG ORAL,88
8,CEFDINIR 300MG CAPSULE,,-1
9,ATORVASTATIN 80MG TABLET,,-1
10,LORATADINE 10MG TABLET,LORATADINE 10MG ORAL,86
11,VALSARTAN 40MG TABLET,,-1
12,ALPRAZOLAM 1MG TABLET,,-1
13,LATUDA 60MG TABLET,,-1
14,IBUPROFEN JR STR 100MG TB CHEWABLE,IBUPROFEN 100MG ORAL,86
15,LIDOCAINE 5% PATCH,,-1
16,CLOBETASOL PROP 0.05% SPRAY,,-1
17,OXYCODONE-ACETAMINOPHEN 7.5-325MG TABLET,OXYCODONE AND ACETAMINOPHEN 325MG;7.5MG ORAL,87
18,PYRIDOSTIGMINE ER 180MG TABLET,,-1
19,CARVEDILOL 12.5MG TABLET,CARVEDILOL 12.5MG ORAL,87
20,TEMAZEPAM 15MG CAPSULE,,-1
21,FENOFIBRATE 130MG CAPSULE,FENOFIBRATE 130MG ORAL,87
22,HM CASTOR OIL,,-1
23,PROPRANOLOL 40MG TABLET,,-1
24,LISINOPRIL 30MG TABLET,LISINOPRIL 30MG ORAL,86
25,LACTULOSE 10 GM/15ML SOLUTION,,-1
26,SIMVASTATIN 5MG TABLET,SIMVASTATIN 5MG ORAL,86
27,GLYCOPYRROLATE 1MG TABLET,GLYCOPYRROLATE 1MG ORAL,88
28,"METFORMIN HCL 1,000MG TABLET",,-1
29,DICLOFENAC SOD EC 75MG TABLET,,-1
30,KETOROLAC 60MG/2ML VIAL,,-1
31,VALGANCICLOVIR 450MG TABLET,,-1
32,URSODIOL 250MG TABLET,,-1
33,IMIQUIMOD 5% CREAM PACKET,,-1
34,CHLORDIAZEPOXIDE 25MG CAPSULE,,-1
35,APRI 28 DAY TABLET,,-1
36,ACYCLOVIR 800MG TABLET,ACYCLOVIR 800MG ORAL,86
37,BUPRENORPHINE 2MG TABLET SUB-LINGUAL,,-1
38,BUTALB-ACETAMIN-CAFF 50-300-40,,-1
39,SUMATRIPTAN SUCC 50MG TABLET,,-1
40,NICOTINE 14MG/24HR PATCH,NICOTINE 14MG/24HR TRANSDERMAL,86
41,TAYTULLA 1MG-20MCG CAPSULE,,-1
42,DUREZOL 0.05% EYE DROPS,,-1
43,FLUCONAZOLE 100MG TABLET,FLUCONAZOLE 100MG ORAL,87
44,METHYLPHENIDATE 10MG TABLET,,-1
45,DIVALPROEX SOD DR 125MG TABLET,,-1
46,ATORVASTATIN 40MG TABLET,,-1
47,ZOLMITRIPTAN 5MG ODT,ZOLMITRIPTAN 2.5MG ORAL,89
48,MODAFINIL 100MG TABLET,MODAFINIL 100MG ORAL,86
49,TESTOSTERONE 30MG/1.5ML PUMP,TESTOSTERONE 30MG/1.5ML ACTUATION TRANSDERMAL,90
50,CARAFATE 1 GM/10ML SUSP,,-1
51,CYCLOBENZAPRINE 7.5MG TABLET,CYCLOBENZAPRINE HYDROCHLORIDE 7.5MG ORAL,86
52,ALPRAZOLAM ER 2MG TABLET,,-1
53,LEVO-T 88MCG TABLET,,-1
54,ROPINIROLE HCL 1MG TABLET,,-1
55,DEXTROAMP-AMPHET ER 15MG CAP,,-1
56,ARMOUR THYROID 30MG TABLET,,-1
57,GABAPENTIN 600MG TABLET,GABAPENTIN 600MG ORAL,86
58,ROWEEPRA 500MG TABLET,,-1
59,DOXAZOSIN MESYLATE 2MG TABLET,DOXAZOSIN MESYLATE EQ 2MG BASE ORAL,86
60,"NYSTATIN 100,000 UNIT/GM CREAM","NYSTATIN 100,000 UNITS/GM TOPICAL",86
61,OLMESARTAN MEDOXOMIL 20MG TABLET,OLMESARTAN MEDOXOMIL 20MG ORAL,91
62,NEOMYCIN 500MG TABLET,,-1
63,ROSUVASTATIN CALCIUM 40MG TABLET,ROSUVASTATIN CALCIUM 40MG ORAL,91
64,MONTELUKAST SOD 5MG TAB CHEWABLE,,-1
65,FUROSEMIDE 80MG TABLET,FUROSEMIDE 80MG ORAL,86
66,ACEBUTOLOL 400MG CAPSULE,,-1
67,SULFAMETHOXAZOLE-TMP SUSP,,-1
68,IBUPROFEN 200MG SOFTGEL,IBUPROFEN 200MG ORAL,86
69,LORAZEPAM 0.5MG TABLET,LORAZEPAM 0.5MG ORAL,86
70,HM ASPIRIN 81MG CHEWABLE TABLET,,-1
71,WARFARIN SODIUM 2MG TABLET,WARFARIN SODIUM 2MG ORAL,88
72,HYDROCHLOROTHIAZIDE 12.5MG CP,HYDROCHLOROTHIAZIDE 12.5MG ORAL,95
73,DOXYCYCLINE HYCLATE 100MG CAP,DOXYCYCLINE HYCLATE EQ 100MG BASE ORAL,93
74,CHILDREN IBUPROFEN 100MG/5ML,CHILDREN'S IBUPROFEN 100MG/5ML ORAL,100
75,DASETTA 7/7/7-28 TABLET,,-1
76,CLONAZEPAM 1MG TABLET,,-1
77,ROSUVASTATIN CALCIUM 40MG TABLET,ROSUVASTATIN CALCIUM 40MG ORAL,91
78,ZIPRASIDONE HCL 60MG CAPSULE,,-1
79,IRBESARTAN 150MG TABLET,IRBESARTAN 150MG ORAL,86
80,"METFORMIN HCL 1,000MG TABLET",,-1
81,PRAVASTATIN SODIUM 40MG TABLET,PRAVASTATIN SODIUM 40MG ORAL,90
82,DESOXIMETASONE 0.25% CREAM,DESOXIMETASONE 0.25% TOPICAL,86
83,AZITHROMYCIN 250MG TABLET,,-1
84,AMLODIPINE BESYLATE 5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,87
85,CARVEDILOL 3.125MG TABLET,CARVEDILOL 3.125MG ORAL,88
86,ATAZANAVIR SULFATE 300MG CAP,ATAZANAVIR SULFATE EQ 300MG BASE ORAL,92
87,ISOSORBIDE DINITRATE 30MG TABLET,ISOSORBIDE DINITRATE 30MG ORAL,91
88,NEXIUM DR 20MG PACKET,NEXIUM EQ 20MG BASE/PACKET ORAL,92
89,IRBESARTAN 150MG TABLET,IRBESARTAN 150MG ORAL,86
90,DOXEPIN 10MG CAPSULE,,-1
91,CHLORPROMAZINE 100MG TABLET,,-1
92,RIZATRIPTAN 10MG ODT,RIZATRIPTAN BENZOATE EQ 10MG BASE ORAL,89
93,POLYETHYLENE GLYCOL 3350 POWD,POLYETHYLENE GLYCOL 3350 17GM/SCOOPFUL ORAL,91
94,EXCEDRIN MIGRAINE CAPLET,,-1
95,LANSOPRAZOLE DR 30MG CAPSULE,LANSOPRAZOLE 30MG ORAL,87
96,MEMANTINE HCL 10MG TABLET,,-1
97,ISIBLOOM 28 DAY TABLET,,-1
98,DEXTROAMP-AMPHETAMIN 10MG TABLET,,-1
99,TRANSDERM-SCOP 1.5MG (1MG/3D),,-1
100,DESOXIMETASONE 0.25% OINTMENT,,-1
101,FAMCICLOVIR 125MG TABLET,FAMCICLOVIR 125MG ORAL,87
102,ATORVASTATIN 40MG TABLET,,-1
103,DAYPRO 600MG CAPLET,,-1
104,HUMALOG JR 100 UNIT/ML KWIKPEN,,-1
105,LIOTHYRONINE SOD 5MCG TABLET,,-1
106,TAMSULOSIN HCL 0.4MG CAPSULE,,-1
107,ARIPIPRAZOLE 5MG TABLET,ARIPIPRAZOLE 5MG ORAL,86
108,HYDROXYZINE PAM 50MG CAP,,-1
109,PRAMIPEXOLE 0.125MG TABLET,,-1
110,ALORA 0.025MG PATCH,,-1
111,QVAR REDIHALER 40MCG,,-1
112,REYATAZ 300MG CAPSULE,,-1
113,ACETAMINOPHEN 500MG GELCAP,,-1
114,NICOTINE 21MG/24HR PATCH,NICOTINE 21MG/24HR TRANSDERMAL,86
115,LOSARTAN-HYDROCHLOROTHIAZIDE 100-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
116,CLOTRIMAZOLE 1% CREAM,,-1
117,ALPRAZOLAM 0.25MG TABLET,ALPRAZOLAM 0.25MG ORAL,87
118,GABAPENTIN 100MG CAPSULE,GABAPENTIN 100MG ORAL,86
119,SEVELAMER CARBONATE 800MG TABLET,SEVELAMER CARBONATE 800MG ORAL,91
120,"FENTANYL 2,500MCG/50ML VIAL",,-1
121,GABAPENTIN 300MG CAPSULE,GABAPENTIN 300MG ORAL,86
122,ONDANSETRON HCL 4MG TABLET,ONDANSETRON 4MG ORAL,86
123,MIRTAZAPINE 15MG TABLET,MIRTAZAPINE 15MG ORAL,86
124,GIANVI 3MG-0.02MG TABLET,,-1
125,HM NIGHT TIME COLD-FLU LIQ,,-1
126,DONEPEZIL HCL 10MG TABLET,,-1
127,ALLOPURINOL 300MG TABLET,ALLOPURINOL 300MG ORAL,87
128,CICLOPIROX 8% SOLUTION,,-1
129,AMILORIDE HCL-HYDROCHLOROTHIAZIDE 5-50MG TABLET,HYDROCHLOROTHIAZIDE 50MG ORAL,91
130,GENTAMICIN 0.1% OINTMENT,,-1
131,EZETIMIBE 10MG TABLET,,-1
132,NICOTINE 2MG LOZENGE,,-1
133,AMLODIPINE BESYLATE 2.5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,88
134,MIRTAZAPINE 45MG TABLET,MIRTAZAPINE 45MG ORAL,86
135,MOEXIPRIL HCL 15MG TABLET,,-1
136,CIPROFLOXACIN 0.3% EYE DROP,,-1
137,RISPERIDONE 1MG TABLET,RISPERIDONE 1MG ORAL,86
138,AMITRIPTYLINE HCL 75MG TABLET,,-1
139,CLINDAMYCIN PH 1% SOLUTION,,-1
140,DESONIDE 0.05% CREAM,,-1
141,ESTRADIOL 0.025MG PATCH,,-1
142,ZOLPIDEM TARTRATE 10MG TABLET,ZOLPIDEM TARTRATE 10MG ORAL,90
143,NOVOLIN N 100 UNITS/ML VIAL,NOVOLIN N 100 UNITS/ML INJECTION,90
144,ESTRACE 1MG TABLET,,-1
145,CHILDREN IBUPROFEN 100MG/5ML,CHILDREN'S IBUPROFEN 100MG/5ML ORAL,100
146,ALOGLIPTIN 25MG TABLET,,-1
147,TOPIRAMATE 200MG TABLET,TOPIRAMATE 200MG ORAL,86
148,CLONIDINE HCL 0.1MG TABLET,,-1
149,RIVASTIGMINE 1.5MG CAPSULE,,-1
150,CLOTRIMAZOLE-3 CREAM,,-1
151,TELMISARTAN 20MG TABLET,TELMISARTAN 20MG ORAL,86
152,LAXATIVE FEMININE 5MG TABLET,,-1
153,LORAZEPAM 0.5MG TABLET,LORAZEPAM 0.5MG ORAL,86
154,OLMSRTN-AMLDPN-HYDROCHLOROTHIAZIDE 40-5-25MG,HYDROCHLOROTHIAZIDE 25MG ORAL,91
155,NIFEDIPINE 10MG CAPSULE,NIFEDIPINE 10MG ORAL,86
156,CEPHALEXIN 250MG/5ML SUSP,CEPHALEXIN EQ 250MG BASE/5ML ORAL,89
157,CLONAZEPAM 2MG TABLET,,-1
158,ESOMEPRAZOLE MAG DR 40MG CAP,,-1
159,NIFEDIPINE ER 30MG TABLET,NIFEDIPINE 30MG ORAL,86
160,OLANZAPINE 5MG TABLET,,-1
161,GENTAMICIN 0.1% OINTMENT,,-1
162,METRONIDAZOLE 250MG TABLET,METRONIDAZOLE 250MG ORAL,88
163,AZATHIOPRINE 50MG TABLET,AZATHIOPRINE 50MG ORAL,87
164,TRAZODONE 50MG TABLET,,-1
165,COUGH-COLD TABLET,,-1
166,PROPRANOLOL 60MG TABLET,,-1
167,FLUCONAZOLE 200MG TABLET,FLUCONAZOLE 200MG ORAL,87
168,ALBUTEROL SUL 0.63MG/3ML SOLUTION,,-1
169,HM ALLERGY RLF-NASAL DECONG TB,,-1
170,BREO ELLIPTA 100-25MCG INHALATION,,-1
171,OXICONAZOLE NITRATE 1% CREAM,OXICONAZOLE NITRATE EQ 1% BASE TOPICAL,88
172,ADVAIR HFA 115-21MCG INHALER,,-1
173,METRONIDAZOLE 500MG TABLET,METRONIDAZOLE 500MG ORAL,88
174,GLIPIZIDE ER 2.5MG TABLET,GLIPIZIDE 2.5MG ORAL,86
175,RISEDRONATE SODIUM 150MG TABLET,RISEDRONATE SODIUM 150MG ORAL,91
176,ROSUVASTATIN CALCIUM 20MG TABLET,ROSUVASTATIN CALCIUM 20MG ORAL,91
177,LOSARTAN-HYDROCHLOROTHIAZIDE 100-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
178,APRODINE TABLET,,-1
179,"TESTOSTERON CYP 2,000MG/10ML",,-1
180,SM IBUPROFEN PM CAPLET,,-1
181,METHYLPREDNISOLONE 4MG DOSEPK,METHYLPREDNISOLONE 4MG ORAL,90
182,POTASSIUM CL ER 10 MEQ TABLET,,-1
183,QUINAPRIL-HYDROCHLOROTHIAZIDE 20-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
184,ACITRETIN 25MG CAPSULE,,-1
185,DESIPRAMINE 25MG TABLET,,-1
186,CEPHALEXIN 250MG CAPSULE,,-1
187,DILTIAZEM 120MG TABLET,,-1
188,MECLIZINE 12.5MG TABLET,,-1
189,CETIRIZINE HCL 10MG TABLET,,-1
190,CARNITOR SF 100MG/ML ORAL SOLUTION,,-1
191,CLOBETASOL 0.05% SHAMPOO,,-1
192,TRAMADOL HCL ER 300MG TABLET,,-1
193,FLUOXETINE HCL 10MG CAPSULE,,-1
194,ALORA 0.075MG PATCH,,-1
195,LIPITOR 20MG TABLET,,-1
196,TOPROL XL 25MG TABLET,,-1
197,ALPRAZOLAM 0.25MG TABLET,ALPRAZOLAM 0.25MG ORAL,87
198,DILTIAZEM ER 240MG CAPSULE,,-1
199,SERTRALINE HCL 100MG TABLET,,-1
200,SIMETHICONE 180MG SOFTGEL,,-1
201,TAMOXIFEN 10MG TABLET,,-1
202,TACTINAL 325MG TABLET,,-1
203,HYDROCODONE-ACETAMINOPHEN 7.5-325MG/15ML SOLUTION,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,87
