,ndc_description,ndc_description_agg,score
0,IBUPROFEN 200MG TABLET,IBUPROFEN 200MG ORAL,86
1,OXYCODONE HCL ER 80MG TABLET,,-1
2,OXYCODONE HCL 15MG TABLET,,-1
3,KETOCONAZOLE 200MG TABLET,KETOCONAZOLE 200MG ORAL,88
4,NICOTINE 7MG/24HR PATCH,,-1
5,HYDROCODONE-ACETAMINOPHEN 5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,87
6,OMEPRAZOLE DR 10MG CAPSULE,OMEPRAZOLE 10MG ORAL,86
7,PIROXICAM 20MG CAPSULE,,-1
8,ZOLMITRIPTAN 2.5MG TABLET,ZOLMITRIPTAN 2.5MG ORAL,88
9,DOXYCYCLINE HYCLATE 100MG CAP,DOXYCYCLINE HYCLATE EQ 100MG BASE ORAL,93
10,PERPHENAZINE 2MG TABLET,PERPHENAZINE 2MG ORAL,86
11,CILOSTAZOL 100MG TABLET,CILOSTAZOL 100MG ORAL,86
12,BUPROPION HCL SR 150MG TABLET,,-1
13,PRAVASTATIN SODIUM 10MG TABLET,PRAVASTATIN SODIUM 10MG ORAL,90
14,RISPERDAL CONSTA 37.5MG SYRINGE,,-1
15,AMLODIPINE BESYLATE 5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,87
16,LIVALO 1MG TABLET,,-1
17,METHYLPHENIDATE ER(CD) 20MG CP,,-1
18,ATORVASTATIN 10MG TABLET,,-1
19,ENSKYCE 28 TABLET,,-1
20,GLYBURIDE 2.5MG TABLET,GLYBURIDE 2.5MG ORAL,86
21,LEVOTHYROXINE 50MCG TABLET,,-1
22,PHENYTOIN SOD EXT 100MG CAP,,-1
23,DESLORATADINE 5MG TABLET,DESLORATADINE 5MG ORAL,87
24,LEVOTHYROXINE 100MCG TABLET,,-1
25,LISINOPRIL 40MG TABLET,LISINOPRIL 40MG ORAL,86
26,HM SLEEP AID 25MG TABLET,,-1
27,DILTIAZEM ER 120MG CAPSULE,,-1
28,DOXEPIN 50MG CAPSULE,,-1
29,NICORELIEF 4MG GUM,,-1
30,ATORVASTATIN 40MG TABLET,,-1
31,LANSOPRAZOLE DR 30MG CAPSULE,LANSOPRAZOLE 30MG ORAL,87
32,GS LICE KILLING SHAMPOO,,-1
33,THEO-24 ER 300MG CAPSULE,,-1
34,ALLOPURINOL 100MG TABLET,ALLOPURINOL 100MG ORAL,87
35,ACITRETIN 25MG CAPSULE,,-1
36,DILTIAZEM 24HR ER 360MG CAP,,-1
37,FUROSEMIDE 40MG TABLET,FUROSEMIDE 40MG ORAL,86
38,PIOGLITAZONE HCL 15MG TABLET,,-1
39,CYCLOSET 0.8MG TABLET,,-1
40,INDOMETHACIN ER 75MG CAPSULE,INDOMETHACIN 75MG ORAL,87
41,DESMOPRESSIN ACETATE 0.2MG TB,DESMOPRESSIN ACETATE 0.2MG ORAL,95
42,MAPAP 500MG CAPLET,,-1
43,DOXYCYCLINE HYCLATE 50MG CAP,DOXYCYCLINE HYCLATE EQ 50MG BASE ORAL,92
44,PHENOBARBITAL 32.4MG TABLET,,-1
45,METHYLPHENIDATE CD 10MG CAP,,-1
46,TUMS X-STR 750 TABLET CHEWABLE,,-1
47,LORATADINE-D 24HR TABLET,,-1
48,GALANTAMINE ER 24MG CAPSULE,,-1
49,PHENTERMINE 30MG CAPSULE,,-1
50,NAPROXEN SODIUM 220MG TABLET,NAPROXEN SODIUM AND PSEUDOEPHEDRINE HYDROCHLORIDE EQ 220MG BASE;120MG ORAL,86
51,MONTELUKAST SOD 4MG TAB CHEWABLE,,-1
52,"NYSTATIN 100,000 UNIT/GM POWD",,-1
53,TEMODAR 250MG CAPSULE,,-1
54,BUPROPION HCL 100MG TABLET,,-1
55,HEARTBURN RELIEF 150MG TABLET,,-1
56,ALLERGY RELIEF 10MG TABLET,,-1
57,MOTION-TIME 25MG TABLET CHEWABLE,,-1
58,RITALIN 20MG TABLET,,-1
59,HYDROCODONE-ACETAMINOPHEN 5-300MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 300MG/15ML;10MG/15ML ORAL,87
60,LOSARTAN POTASSIUM 100MG TABLET,LOSARTAN POTASSIUM 100MG ORAL,91
61,METFORMIN HCL 850MG TABLET,,-1
62,NAPROXEN 500MG TABLET,,-1
63,FAMOTIDINE 10MG TABLET,FAMOTIDINE 10MG ORAL,86
64,FLUOXETINE HCL 10MG TABLET,,-1
65,AMLODIPINE-BENAZEPRIL 5-10MG,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,96
66,OXYBUTYNIN 5MG TABLET,,-1
67,ACEBUTOLOL 200MG CAPSULE,,-1
68,CARVEDILOL 6.25MG TABLET,CARVEDILOL 6.25MG ORAL,87
69,LEVOTHYROXINE 88MCG TABLET,,-1
70,LAMOTRIGINE 25MG TABLET,LAMOTRIGINE 25MG ORAL,86
71,HM NASAL DECONGEST 30MG TABLET,,-1
72,ESTRADIOL 0.0375MG PATCH,ESTRADIOL 0.0375MG/24HR TRANSDERMAL,86
73,TUSSIN DM LIQUID,,-1
74,METFORMIN HCL ER 750MG TABLET,,-1
75,WARFARIN SODIUM 6MG TABLET,WARFARIN SODIUM 6MG ORAL,88
76,MORPHINE SULF 100MG/5ML SOLUTION,,-1
77,SM ARTHRITIS PAIN ER 650MG,,-1
78,METHYLPHENIDATE ER 27MG TABLET,,-1
79,VRAYLAR 3MG CAPSULE,,-1
80,ALPRAZOLAM 0.25MG TABLET,ALPRAZOLAM 0.25MG ORAL,87
81,DIOVAN 160MG TABLET,,-1
82,CHLORPROMAZINE 25MG TABLET,,-1
83,ENTECAVIR 0.5MG TABLET,ENTECAVIR 0.5MG ORAL,86
84,CARVEDILOL 3.125MG TABLET,CARVEDILOL 3.125MG ORAL,88
85,POTASSIUM CL 10% (20 MEQ/15ML) LIQUID,,-1
86,CEFUROXIME AXETIL 500MG TABLET,CEFUROXIME AXETIL EQ 500MG BASE ORAL,87
87,OXCARBAZEPINE 300MG TABLET,OXCARBAZEPINE 300MG ORAL,88
88,AMOXICILLIN 875MG TABLET,AMOXICILLIN 875MG ORAL,87
89,BUPROPION HCL 100MG TABLET,,-1
90,MORPHINE SULFATE ER 100MG CAP,MORPHINE SULFATE 100MG ORAL,90
91,DAPSONE 5% GEL,,-1
92,NICORETTE 2MG CHEWING GUM,,-1
93,PIOGLITAZONE-METFORMIN 15-850,PIOGLITAZONE HYDROCHLORIDE AND METFORMIN HYDROCHLORIDE 500MG;EQ 15MG BASE ORAL,86
94,CLOZAPINE 200MG TABLET,CLOZAPINE 200MG ORAL,86
95,FENOFIBRATE 48MG TABLET,FENOFIBRATE 48MG ORAL,86
96,HM PAIN RELIEVER PM CAPLET,,-1
97,WARFARIN SODIUM 6MG TABLET,WARFARIN SODIUM 6MG ORAL,88
98,AMIODARONE HCL 200MG TABLET,,-1
99,CLINDAMYCIN PH 1% SOLUTION,,-1
100,METHYLPHENIDATE 20MG TABLET,,-1
101,PANTOPRAZOLE SOD DR 40MG TABLET,,-1
102,ALL DAY PAIN RLF 220MG CAPLET,,-1
103,MELOXICAM 15MG TABLET,,-1
104,MEDROXYPROGESTERONE 5MG TABLET,MEDROXYPROGESTERONE ACETATE 2.5MG ORAL,87
105,HYDROCORTISONE 1% CREAM,,-1
106,VENLAFAXINE HCL 50MG TABLET,,-1
107,AMANTADINE 100MG TABLET,,-1
108,METHYLPHENIDATE 20MG TABLET,,-1
109,HYDROCODONE-HOMATROPINE 5-1.5MG TABLET,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE 1.5MG/5ML;5MG/5ML ORAL,87
110,OXYCODONE HCL ER 30MG TABLET,,-1
111,GABAPENTIN 600MG TABLET,GABAPENTIN 600MG ORAL,86
112,HYDROXYZINE HCL 25MG TABLET,,-1
113,DALIRESP 250MCG TABLET,DALIRESP 250MCG ORAL,86
114,HYDRALAZINE 50MG TABLET,,-1
115,IBUPROFEN 200MG TABLET,IBUPROFEN 200MG ORAL,86
116,AVONEX 30MCG VIAL KIT,,-1
117,QUINAPRIL-HYDROCHLOROTHIAZIDE 10-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
118,"HEPARIN SODIUM 10,000 UNIT/ML VIAL",,-1
119,PREDNISONE 5MG TABLET,,-1
120,BUPROPION HCL XL 150MG TABLET,,-1
121,LISINOPRIL 10MG TABLET,LISINOPRIL 10MG ORAL,86
122,BRIMONIDINE TARTRATE 0.15% DRP,BRIMONIDINE TARTRATE 0.2% OPHTHALMIC,86
123,ROSUVASTATIN CALCIUM 20MG TABLET,ROSUVASTATIN CALCIUM 20MG ORAL,91
124,ROPINIROLE HCL 0.5MG TABLET,,-1
125,MIRTAZAPINE 15MG TABLET,MIRTAZAPINE 15MG ORAL,86
126,EXELON 4.6MG/24HR PATCH,,-1
127,ASPIRIN EC 325MG TABLET,,-1
128,ESCITALOPRAM 10MG TABLET,,-1
129,MORPHINE SULF ER 100MG TABLET,,-1
130,LYZA 0.35MG TABLET,,-1
131,ISOSORBIDE DINITRATE 10MG TABLET,ISOSORBIDE DINITRATE 10MG ORAL,91
132,GUAIFENESIN DM SYRUP,,-1
133,NALTREXONE 50MG TABLET,,-1
134,DOXAZOSIN MESYLATE 4MG TABLET,DOXAZOSIN MESYLATE EQ 4MG BASE ORAL,86
135,DEXTROAMP-AMPHETAMINE 5MG TABLET,,-1
136,LORAZEPAM 1MG TABLET,,-1
137,DEXAMETHASONE 0.1% EYE DROP,,-1
138,CALCITRIOL 0.25MCG CAPSULE,CALCITRIOL 0.25MCG ORAL,88
139,RISPERIDONE 0.25MG TABLET,RISPERIDONE 0.25MG ORAL,88
140,MEMANTINE HCL ER 28MG CAPSULE,,-1
141,CIPROFLOXACIN HCL 250MG TABLET,,-1
142,IRBESARTAN 150MG TABLET,IRBESARTAN 150MG ORAL,86
143,JANTOVEN 2MG TABLET,,-1
144,BROMOCRIPTINE 2.5MG TABLET,,-1
145,TRIFLUOPERAZINE 10MG TABLET,,-1
