,ndc_description,ndc_description_agg,score
0,POTASSIUM CL ER 10 MEQ TABLET,,-1
1,LOSARTAN POTASSIUM 25MG TABLET,LOSARTAN POTASSIUM 25MG ORAL,90
2,ALBUTEROL SUL 2.5MG/3ML SOLUTION,,-1
3,METFORMIN HCL 850MG TABLET,,-1
4,ACETYLCYSTEINE 20% VIAL,"ACETYLCYSTEINE 20% INHALATION, ORAL",87
5,CETIRIZINE HCL 5MG TABLET,,-1
6,BUTALB-ACETAMIN-CAFF 50-300-40,,-1
7,VALSARTAN-HYDROCHLOROTHIAZIDE 160-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
8,WARFARIN SODIUM 7.5MG TABLET,WARFARIN SODIUM 7.5MG ORAL,89
9,VITAMIN A AND D OINTMENT,,-1
10,TORSEMIDE 20MG TABLET,,-1
11,ARIPIPRAZOLE 20MG TABLET,ARIPIPRAZOLE 20MG ORAL,87
12,MEMANTINE HCL 5MG TABLET,,-1
13,BUPROPION HCL 75MG TABLET,,-1
14,METHYLPHENIDATE 5MG CHEW TABLET,,-1
15,FENTANYL 100MCG/HR PATCH,FENTANYL-100 100MCG/HR TRANSDERMAL,86
16,FLUVOXAMINE MALEATE 25MG TABLET,FLUVOXAMINE MALEATE 25MG ORAL,91
17,DEXTROAMP-AMPHETAMIN 15MG TABLET,,-1
18,DEXMETHYLPHENIDATE ER 20MG CP,DEXMETHYLPHENIDATE HYDROCHLORIDE 20MG ORAL,88
19,RAPAFLO 4MG CAPSULE,,-1
20,ESTRADIOL 2MG TABLET,,-1
21,TRIPLE ANTIBIOTIC PLUS OINTMNT,,-1
22,CETIRIZINE HCL 1MG/ML SOLUTION,,-1
23,OMEPRAZOLE DR 20MG CAPSULE,OMEPRAZOLE 20MG ORAL,86
24,AZITHROMYCIN 100MG/5ML SUSP,AZITHROMYCIN EQ 100MG BASE/5ML ORAL,90
25,CITALOPRAM HBR 20MG TABLET,,-1
26,RANITIDINE 300MG TABLET,,-1
27,FLUCONAZOLE 100MG TABLET,FLUCONAZOLE 100MG ORAL,87
28,NICORETTE 4MG CHEWING GUM,,-1
29,LAMIVUDINE 300MG TABLET,LAMIVUDINE 300MG ORAL,86
30,VOL-PLUS TABLET,,-1
31,OXYCODONE HCL ER 80MG TABLET,,-1
32,ELETRIPTAN HBR 20MG TABLET,,-1
33,FENOFIBRATE 54MG TABLET,FENOFIBRATE 54MG ORAL,86
34,ARIPIPRAZOLE 5MG TABLET,ARIPIPRAZOLE 5MG ORAL,86
